City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Mataura,NZ,72.97,clear sky,-46.1927,168.8643,
4,Buala,SB,80.69,moderate rain,-8.145,159.5921,
5,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,
6,Port Alfred,ZA,81.18,overcast clouds,-33.5906,26.891,
7,Puerto Ayora,EC,74.55,scattered clouds,-0.7393,-90.3518,
8,Hermanus,ZA,73.8,overcast clouds,-34.4187,19.2345,
10,Georgetown,MY,89.55,few clouds,5.4112,100.3354,
13,Rikitea,PF,78.98,overcast clouds,-23.1203,-134.9692,
15,Namatanai,PG,82.94,overcast clouds,-3.6667,152.4333,
16,Faanui,PF,80.26,light rain,-16.4833,-151.75,
18,Curup,ID,75.22,overcast clouds,-3.4667,102.5333,
19,Jinka,ET,74.7,broken clouds,5.65,36.65,
20,Hilo,US,73.62,overcast clouds,19.7297,-155.09,
21,Kruisfontein,ZA,84.22,overcast clouds,-34.0033,24.7314,
22,Saint-Joseph,RE,82.78,light rain,-21.3667,55.6167,
23,East London,ZA,76.14,few clouds,-33.0153,27.9116,
29,Tierra Colorada,MX,70.99,broken clouds,17.1667,-99.5833,
32,Kapoeta,SS,83.57,overcast clouds,4.7717,33.5903,
33,Palu,ID,86.45,overcast clouds,-0.8917,119.8707,
35,Lethem,GY,74.19,light rain,3.3803,-59.7968,
38,Bambous Virieux,MU,83.21,light rain,-20.3428,57.7575,
43,Booue,GA,73.53,overcast clouds,-0.0921,11.9385,
51,Batemans Bay,AU,73.09,moderate rain,-35.7167,150.1833,
52,Mar Del Plata,AR,71.62,mist,-38.0023,-57.5575,
54,Aracataca,CO,74.68,clear sky,10.5918,-74.1898,
55,Hobart,AU,71.46,scattered clouds,-42.8794,147.3294,
57,Cape Town,ZA,77.11,clear sky,-33.9258,18.4232,
58,Pemangkat,ID,82.94,broken clouds,1.1667,108.9667,
59,Busselton,AU,78.94,broken clouds,-33.65,115.3333,
63,Pouebo,NC,73.08,overcast clouds,-20.4,164.5667,
67,Paka,MY,84.13,scattered clouds,4.6374,103.4368,
68,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,
73,Bengkulu,ID,83.43,broken clouds,-3.8004,102.2655,
81,Natal,BR,74.05,scattered clouds,-5.795,-35.2094,
83,Tanete,ID,88.5,light rain,-3.9443,119.7848,
85,Mersing,MY,84.11,scattered clouds,2.4312,103.8405,
87,Kapaa,US,75.52,broken clouds,22.0752,-159.319,
88,Benjamin Constant,BR,77.13,overcast clouds,-4.3831,-70.0311,
89,Hithadhoo,MV,81.01,clear sky,-0.6,73.0833,
92,Lorengau,PG,84.54,overcast clouds,-2.0226,147.2712,
93,Butaritari,KI,81.57,broken clouds,3.0707,172.7902,
94,Carnarvon,AU,88.14,few clouds,-24.8667,113.6333,
95,Airai,TL,70.39,overcast clouds,-8.9266,125.4092,
97,Samarai,PG,83.8,overcast clouds,-10.6167,150.6667,
98,Carauari,BR,72.05,overcast clouds,-4.8828,-66.8958,
100,San Juan,AR,74.84,overcast clouds,-31.5375,-68.5364,
101,Ouro Preto Do Oeste,BR,70.38,overcast clouds,-10.7481,-62.2158,
103,Matara,LK,84.54,overcast clouds,5.9485,80.5353,
109,Arraial Do Cabo,BR,73.45,clear sky,-22.9661,-42.0278,
112,Kununurra,AU,80.58,moderate rain,-15.7667,128.7333,
114,Guntakal,IN,80.2,scattered clouds,15.1667,77.3833,
115,Port Elizabeth,ZA,76.32,overcast clouds,-33.918,25.5701,
116,Puerto Carreno,CO,75.88,overcast clouds,6.189,-67.4859,
123,Jerantut,MY,85.62,overcast clouds,3.936,102.3626,
